## SPECTRUM TYPE:
LCE

## DATE:
24/09/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
10:22:46

# END TIME:
10:22:46

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
15

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
15 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
999.7925 0.794 198.667 -1.76805 -0.59730 0.000 67.35752 15.0000 4.90 2.71854744747848499E18 9.24085866978292531E18 1.240099 
999.4089 0.794 198.667 -1.76805 -0.59730 0.380 67.35752 15.0000 4.92 2.52845205751857152E18 8.59468833052268954E18 1.240575 
999.0253 0.794 198.667 -1.76805 -0.59730 0.253 67.35752 15.0000 4.92 2.34573933838336E18 7.9736126948989993E18 1.241052 
998.6415 0.794 198.667 -1.76805 -0.59730 0.304 67.35752 15.0000 5.02 2.1667172674657321E18 7.36508358645986099E18 1.241529 
998.2578 0.794 198.667 -1.76805 -0.59730 0.119 67.35751 15.0000 5.09 1.99507786737280614E18 6.78164808214564045E18 1.242006 
997.8739 0.794 198.667 -1.76805 -0.59730 0.335 67.35752 15.0000 5.13 1.8271296652532777E18 6.21076020452759962E18 1.242484 
997.4900 0.794 198.667 -1.76805 -0.59730 0.000 67.35752 15.0000 5.07 1.66656372164159078E18 5.66496648079029043E18 1.242962 
997.1060 0.794 198.667 -1.76805 -0.59730 0.000 67.35752 15.0000 5.16 1.51153450627052339E18 5.13799254782980915E18 1.243440 
996.7219 0.794 198.667 -1.76805 -0.59730 -2.299 67.35752 15.0000 5.13 1.36019662631180698E18 4.62356624156550758E18 1.243920 
996.3377 0.794 198.667 -1.76805 -0.59730 -0.421 67.35752 15.0000 5.24 1.21624072998302515E18 4.13423353942612378E18 1.244399 
995.9535 0.794 198.667 -1.76805 -0.59730 0.050 67.35752 15.0000 5.23 1.07782197421172326E18 3.66372117781938176E18 1.244879 
995.5692 0.794 198.667 -1.76805 -0.59730 0.636 67.35752 15.0000 5.32 922792758840655872.0000 3.13674751973680742E18 1.245360 
995.1848 0.794 198.667 -1.76805 -0.59730 -0.425 67.35752 15.0000 5.45 756690086988349440.0000 2.57213290571104256E18 1.245841 
994.8003 0.794 198.667 -1.76805 -0.59730 0.010 67.35751 15.0000 5.45 575822657602191360.0000 1.95733053367962829E18 1.246322 
994.4158 0.794 198.667 -1.76805 -0.59730 0.006 67.35752 15.0000 5.38 385727370721492992.0000 1.31116060673625293E18 1.246804 
994.0311 0.794 198.667 -1.76805 -0.59730 0.006 67.35752 15.0000 5.43 184558541460209664.0000 627349517691256832.0000 1.247287 
993.6464 0.794 198.667 -1.76805 -0.59730 0.221 67.35752 15.0000 5.49 23992610733424640.0000 81555441766629376.0000 1.247770 
993.2617 0.794 198.667 -1.76805 -0.59730 0.569 67.35752 15.0000 5.46 234389353323823104.0000 796733888155090944.0000 1.248253 
992.8768 0.794 198.667 -1.76805 -0.59730 0.026 67.35752 15.0000 5.55 437403764391936000.0000 1.48681844695079322E18 1.248737 
992.4919 34.704 296.676 0.85097 -1.69374 -0.024 0.71216 15.0000 5.53 20.0768 50.1474 1.249221 
992.1069 61.026 290.721 0.23633 -0.62472 -7.085 -0.41821 15.0000 5.61 5.5051 13.8465 1.249706 
991.7218 28.925 298.377 1.79213 -3.31765 -0.006 2.37006 15.0000 5.68 21.1863 42.1951 1.250191 
991.3367 32.237 297.704 1.60179 -3.05039 0.099 1.64534 15.0000 5.74 53.2775 129.7598 1.250677 
990.9514 79.975 135.570 -0.34676 0.33993 0.566 -1.33056 15.0000 5.75 3.8538 5.8905 1.251163 
990.5661 78.850 131.032 -0.33061 0.37989 5.900 -1.22786 15.0000 5.73 3.9057 5.8044 1.251650 
990.1807 78.537 131.820 -0.33445 0.37379 -11.906 -1.18585 15.0000 5.78 3.6548 5.8912 1.252137 
989.7953 78.992 132.311 -0.32351 0.35539 -0.216 -1.18854 15.0000 5.87 3.0991 7.0783 1.252625 
989.4097 79.345 134.690 -0.30126 0.30454 -1.179 -1.09819 15.0000 6.04 2.0506 3.0751 1.253113 
