## SPECTRUM TYPE:
LCE

## DATE:
24/09/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
10:30:13

# END TIME:
10:30:13

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
14

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
16 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
999.7925 1.668 200.538 -3.67761 -1.37778 0.000 67.35753 16.0000 5.25 2.72211893612340838E18 1.87839422997158953E19 1.240099 
999.4089 1.668 200.538 -3.67761 -1.37778 0.532 67.35753 16.0000 5.23 2.53177368214608282E18 1.74704679081979412E19 1.240575 
999.0253 1.668 200.538 -3.67761 -1.37778 0.416 67.35753 16.0000 5.38 2.4135011404915671E18 1.66543290142021386E19 1.241052 
998.6415 1.668 200.538 -3.67761 -1.37778 0.577 67.35753 16.0000 5.41 2.27859642388263731E18 1.57234219969874493E19 1.241529 
998.2578 1.668 200.538 -3.67761 -1.37778 0.155 67.35753 16.0000 5.45 2.1252116655898624E18 1.4664991422160044E19 1.242006 
997.8739 1.668 200.538 -3.67761 -1.37778 0.448 67.35753 16.0000 5.49 1.95149858656695091E18 1.346628845239586E19 1.242484 
997.4900 1.668 200.538 -3.67761 -1.37778 0.003 67.35753 16.0000 5.46 1.75560959496237875E18 1.21145587528126956E19 1.242962 
997.1060 1.668 200.538 -3.67761 -1.37778 0.006 67.35753 16.0000 5.55 1.53569627429090099E18 1.05970501875516047E19 1.243440 
996.7219 1.668 200.538 -3.67761 -1.37778 -2.847 67.35753 16.0000 5.61 1.28991089526204006E18 8.90101281977689702E18 1.243920 
996.3377 1.668 200.538 -3.67761 -1.37778 -0.371 67.35753 16.0000 5.63 1.01640552242688819E18 7.01369176485055693E18 1.244399 
995.9535 1.668 200.538 -3.67761 -1.37778 -0.038 67.35753 16.0000 5.61 717027953795399680.0000 4.94784080789897216E18 1.244879 
995.5692 1.668 200.538 -3.67761 -1.37778 0.779 67.35753 16.0000 5.76 393626124816482304.0000 2.71621126014736794E18 1.245360 
995.1848 1.668 200.538 -3.67761 -1.37778 -0.502 67.35753 16.0000 5.90 51744279923523584.0000 357060663043948544.0000 1.245841 
994.8003 1.668 200.538 -3.67761 -1.37778 0.017 67.35754 16.0000 5.88 295681629014196224.0000 2.04034668523369267E18 1.246322 
994.4158 1.668 200.538 -3.67761 -1.37778 0.008 67.35753 16.0000 5.78 630171414283943936.0000 4.34848877326106624E18 1.246804 
994.0311 33.117 143.037 -3.15533 2.37452 0.010 1.73895 16.0000 5.90 1.0903 2.1112 1.247287 
993.6464 34.378 143.271 -69.78410 52.07023 0.344 33.84888 16.0000 5.88 0.9224 1.7749 1.247770 
993.2617 47.944 321.240 0.87946 -0.70610 0.764 -0.11632 16.0000 5.94 0.6544 1.1814 1.248253 
992.8768 10.248 145.924 -0.09094 0.06151 -0.113 0.29372 16.0000 5.99 0.5440 0.6346 1.248737 
992.4919 14.040 131.800 -0.19371 0.21666 0.036 0.54477 16.0000 5.91 1.1787 1.5234 1.249221 
992.1069 4.872 11.166 0.06588 0.01300 -5.798 0.39107 16.0000 6.03 0.5542 0.7144 1.249706 
991.7218 4.149 40.047 0.05540 0.04656 -0.434 0.49615 16.0000 6.07 0.5947 0.7253 1.250191 
991.3367 6.647 60.790 0.05411 0.09677 0.182 0.46920 16.0000 6.27 0.6169 0.6889 1.250677 
990.9514 8.643 105.860 -0.05699 0.20058 0.893 0.67005 16.0000 6.24 0.8568 0.8839 1.251163 
990.5661 4.100 118.052 -0.05573 0.10459 8.696 0.82231 16.0000 6.24 0.8357 0.8657 1.251650 
990.1807 3.583 71.193 0.03738 0.10975 -14.661 0.92222 16.0000 6.31 0.7574 0.8080 1.252137 
989.7953 2.007 55.029 0.03623 0.05180 -0.301 0.90064 16.0000 6.31 0.7432 0.8016 1.252625 
989.4097 2.980 132.673 -0.06570 0.07127 -1.484 0.92848 16.0000 6.42 0.7336 0.8100 1.253113 
989.0241 5.091 153.771 -0.14685 0.07235 0.732 0.91144 16.0000 6.36 0.7445 0.8385 1.253601 
988.6384 7.951 165.922 -0.25200 0.06320 1.248 0.91193 16.0000 6.35 0.7551 0.8352 1.254090 
988.2526 7.349 149.904 -0.20698 0.11997 20.662 0.91200 16.0000 6.58 0.7388 0.8205 1.254580 
987.8668 7.842 146.701 -0.21857 0.14357 0.740 0.93127 16.0000 6.53 0.7474 0.8311 1.255070 
987.4809 7.495 149.264 -0.20387 0.12122 -2974.237 0.88586 16.0000 6.54 0.6867 0.7366 1.255560 
987.0949 7.031 144.909 -0.20595 0.14470 0.927 1.00487 16.0000 6.59 0.6837 0.6993 1.256051 
986.7088 4.169 146.880 -0.14286 0.09320 0.735 1.16382 16.0000 6.67 0.7831 0.7921 1.256543 
986.3226 3.067 184.278 -0.11504 -0.00861 -1.669 1.07329 16.0000 6.67 0.8318 0.8393 1.257035 
985.9364 4.343 144.366 -0.10975 0.07867 -5.460 0.88395 16.0000 6.70 0.8540 0.8682 1.257527 
985.5501 5.784 124.883 -0.09258 0.13279 59.335 0.79088 16.0000 6.71 0.9173 0.9554 1.258020 
985.1638 7.627 121.315 -0.11032 0.18134 -1.526 0.77834 16.0000 6.74 1.0220 1.0720 1.258513 
984.7773 9.202 120.441 -0.12777 0.21743 0.836 0.75796 16.0000 6.88 1.0695 1.1110 1.259007 
984.3907 11.432 117.126 -0.13109 0.25588 -0.564 0.68177 16.0000 6.94 0.9550 0.9865 1.259502 
984.0041 8.909 104.597 -0.05989 0.22995 -0.357 0.73931 16.0000 6.96 0.8823 0.9118 1.259997 
983.6174 5.503 98.346 -0.02146 0.14627 0.381 0.76014 16.0000 7.13 0.7113 0.7470 1.260492 
983.2307 4.979 92.840 -0.00898 0.18107 0.433 1.03252 16.0000 7.19 0.7092 0.7411 1.260988 
982.8438 5.708 214.651 -0.20961 -0.14487 0.354 1.26178 16.0000 7.21 0.8413 0.8664 1.261484 
982.4569 7.438 18.996 0.27171 0.09354 0.381 1.08183 16.0000 7.17 0.8033 0.8887 1.261981 
982.0699 8.614 65.480 0.10818 0.23715 -2.180 0.84059 16.0000 7.26 0.7180 0.7878 1.262478 
981.6828 10.282 106.829 -0.07919 0.26182 -0.008 0.72913 16.0000 7.33 0.6992 0.7372 1.262976 
981.2957 12.272 124.460 -0.21613 0.31495 -0.005 0.83648 16.0000 7.37 0.7252 0.7785 1.263474 
980.9084 14.406 135.489 -0.27586 0.27119 0.003 0.70329 16.0000 7.47 0.7982 0.9548 1.263973 
980.5211 28.525 149.455 -0.43671 0.25770 0.005 0.32866 16.0000 7.36 0.5850 0.7466 1.264472 
980.1337 36.957 134.286 -0.53481 0.54831 -0.001 0.22088 16.0000 7.54 0.5754 0.8860 1.264972 
979.7463 36.010 146.875 -0.80482 0.52514 -0.001 0.31187 16.0000 7.41 0.6412 1.1518 1.265472 
979.3587 67.875 157.152 -3.15735 1.33037 4.757 -3.51698 16.0000 7.54 0.7386 1.0807 1.265973 
978.9711 81.705 106.711 -0.23643 0.78752 4.069 -2.76006 16.0000 7.66 0.7539 1.3072 1.266474 
