## SPECTRUM TYPE:
LCE

## DATE:
24/09/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
15:49:18

# END TIME:
15:49:18

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
28

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
8 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
999.7925 0.963 208.293 -1.99446 -1.07358 0.000 67.35753 8.0000 4.53 2.71904057844354253E18 1.10588670614500803E19 1.240099 
999.4089 0.963 208.293 -1.99446 -1.07358 0.460 67.35753 8.0000 4.48 2.52891055386735411E18 1.02855717375421972E19 1.240575 
999.0253 0.963 208.293 -1.99446 -1.07358 0.310 67.35753 8.0000 4.61 2.41077187775352013E18 9.80507855913431859E18 1.241052 
998.6415 0.963 208.293 -1.99446 -1.07358 0.495 67.35753 8.0000 4.58 2.27601971838294426E18 9.25701489364146586E18 1.241529 
998.2578 0.963 208.293 -1.99446 -1.07358 0.134 67.35753 8.0000 4.63 2.12280827061049754E18 8.63387437518081229E18 1.242006 
997.8739 0.963 208.293 -1.99446 -1.07358 0.358 67.35753 8.0000 4.67 1.94929172929105101E18 7.92814898860208947E18 1.242484 
997.4900 0.963 208.293 -1.99446 -1.07358 -0.020 67.35753 8.0000 4.67 1.75362415184052224E18 7.13233071875502899E18 1.242962 
997.1060 0.963 208.293 -1.99446 -1.07358 0.000 67.35753 8.0000 4.72 1.53395973311378227E18 6.23891265000099021E18 1.243440 
996.7219 0.963 208.293 -1.99446 -1.07358 -2.186 67.35753 8.0000 4.76 1.28845225564884173E18 5.24038621743389082E18 1.243920 
996.3377 0.963 208.293 -1.99446 -1.07358 -0.522 67.35753 8.0000 4.84 1.01525612045900186E18 4.12924423053718323E18 1.244399 
995.9535 0.963 208.293 -1.99446 -1.07358 -0.170 67.35753 8.0000 4.81 716217063969914880.0000 2.91299415470532198E18 1.244879 
995.5692 0.963 208.293 -1.99446 -1.07358 0.637 67.35753 8.0000 4.89 393180994405924864.0000 1.59914373021066854E18 1.245360 
995.1848 0.963 208.293 -1.99446 -1.07358 -0.427 67.35753 8.0000 4.98 51685765289082880.0000 210216074791092224.0000 1.245841 
994.8003 0.963 208.293 -1.99446 -1.07358 0.012 67.35754 8.0000 5.03 295347240040398848.0000 1.20123473272609178E18 1.246322 
994.4158 0.963 208.293 -1.99446 -1.07358 0.006 67.35753 8.0000 4.98 629458793310191616.0000 2.56013146141596058E18 1.246804 
994.0311 53.402 202.134 -1.20908 -0.49179 0.007 -0.39420 8.0000 5.05 0.7233 0.9061 1.247287 
993.6464 67.084 186.918 -0.42290 -0.05131 0.352 -0.41380 8.0000 5.06 0.5444 0.8198 1.247770 
993.2617 55.143 58.326 0.15509 0.25136 0.636 -0.10917 8.0000 5.04 0.6033 1.0200 1.248253 
992.8768 73.972 139.658 -0.28570 0.24265 -0.092 -0.59854 8.0000 5.10 0.5943 0.9255 1.248737 
992.4919 82.208 103.783 -0.02727 0.11115 0.072 -0.41033 8.0000 5.11 0.6364 0.9169 1.249221 
992.1069 56.992 137.687 -0.17606 0.16027 -5.965 -0.10592 8.0000 5.19 0.5807 0.7334 1.249706 
991.7218 13.741 123.830 -0.12970 0.19352 -0.355 0.44786 8.0000 5.22 0.7088 0.7584 1.250191 
991.3367 12.135 94.470 -0.01746 0.22330 0.163 0.49676 8.0000 5.35 0.7408 0.7925 1.250677 
990.9514 15.868 76.913 0.08157 0.35090 0.690 0.58248 8.0000 5.35 0.9120 0.9651 1.251163 
990.5661 7.743 88.248 0.00715 0.23374 6.805 0.84408 8.0000 5.36 0.9426 0.9809 1.251650 
990.1807 6.383 60.374 0.10346 0.18193 -12.631 0.92379 8.0000 5.37 0.8416 0.9024 1.252137 
989.7953 3.072 82.283 0.01332 0.09827 -0.251 0.92108 8.0000 5.45 0.8059 0.8875 1.252625 
989.4097 5.936 106.816 -0.05873 0.19432 -1.085 0.96559 8.0000 5.51 0.7952 0.8930 1.253113 
989.0241 8.459 120.482 -0.14704 0.24980 0.578 0.95303 8.0000 5.51 0.8140 0.9220 1.253601 
988.6384 12.389 128.990 -0.27158 0.33549 0.954 0.93506 8.0000 5.52 0.8399 0.9222 1.254090 
988.2526 12.035 107.494 -0.12633 0.40080 15.403 0.94074 8.0000 5.58 0.7988 0.8894 1.254580 
987.8668 13.080 101.944 -0.09664 0.45686 0.604 0.95070 8.0000 5.57 0.8055 0.8991 1.255070 
987.4809 11.997 104.649 -0.10259 0.39245 -2431.271 0.91137 8.0000 5.58 0.7320 0.7897 1.255560 
987.0949 11.267 108.486 -0.13277 0.39714 0.730 1.00926 8.0000 5.65 0.7113 0.7321 1.256051 
986.7088 5.991 105.664 -0.06923 0.24691 0.591 1.20826 8.0000 5.70 0.8188 0.8303 1.256543 
986.3226 4.870 136.633 -0.13516 0.12766 -1.359 1.08303 8.0000 5.74 0.9261 0.9350 1.257035 
985.9364 8.008 109.521 -0.08550 0.24117 -4.037 0.89141 8.0000 5.77 1.0005 1.0381 1.257527 
985.5501 9.980 100.038 -0.05059 0.28578 49.770 0.79911 8.0000 5.78 1.1119 1.2060 1.258020 
985.1638 13.508 95.897 -0.03980 0.38535 -1.144 0.75981 8.0000 5.86 1.2678 1.3958 1.258513 
984.7773 16.595 94.457 -0.03626 0.46516 0.584 0.71329 8.0000 5.91 1.3333 1.4611 1.259007 
984.3907 20.798 89.502 0.00478 0.54943 -0.318 0.61896 8.0000 6.01 1.1788 1.2960 1.259502 
984.0041 16.060 87.385 0.01986 0.43497 -0.309 0.69361 8.0000 5.98 1.0339 1.1345 1.259997 
983.6174 9.272 76.157 0.05575 0.22625 0.302 0.69463 8.0000 6.06 0.7698 0.8638 1.260492 
983.2307 8.786 76.958 0.06898 0.29779 0.374 0.96530 8.0000 6.11 0.7277 0.8150 1.260988 
982.8438 4.001 210.874 -0.15382 -0.09196 0.281 1.27484 8.0000 6.22 0.8517 0.9136 1.261484 
982.4569 9.313 37.537 0.27323 0.20994 0.282 1.02230 8.0000 6.25 0.8966 1.0407 1.261981 
982.0699 12.937 68.810 0.13760 0.35495 -1.557 0.78492 8.0000 6.33 0.8051 0.9247 1.262478 
981.6828 16.743 85.923 0.03049 0.42771 -0.006 0.64815 8.0000 6.34 0.7906 0.8696 1.262976 
981.2957 19.126 101.723 -0.10837 0.52222 -0.004 0.67648 8.0000 6.37 0.7954 0.8967 1.263474 
980.9084 24.850 109.617 -0.21462 0.60216 0.002 0.54214 8.0000 6.42 0.8576 1.0077 1.263973 
980.5211 39.749 114.506 -0.35740 0.78404 0.005 0.15974 8.0000 6.44 0.6260 0.7753 1.264472 
980.1337 39.848 129.099 -0.47331 0.58243 -0.001 0.13644 8.0000 6.54 0.6053 0.8891 1.264972 
979.7463 37.470 157.197 -0.86851 0.36515 -0.001 0.25349 8.0000 6.45 0.7018 1.1529 1.265472 
979.3587 57.700 139.364 -5.19966 4.46239 3.959 -3.25355 8.0000 6.54 0.7702 1.0523 1.265973 
978.9711 66.858 190.980 -3.67926 -0.71382 3.477 -3.58363 8.0000 6.59 0.8485 1.2937 1.266474 
978.5834 63.754 232.349 -0.61332 -0.79496 0.635 -0.77068 8.0000 6.54 0.8786 1.3956 1.266976 
978.1956 44.769 245.397 -0.21959 -0.47957 4.385 0.00425 8.0000 6.59 0.8614 1.3992 1.267478 
977.8077 19.010 228.194 -0.17762 -0.19861 -1.605 0.34079 8.0000 6.68 0.8479 1.3201 1.267981 
977.4199 9.194 195.439 -0.19532 -0.05395 1.523 0.60957 8.0000 6.77 0.9427 1.2461 1.268484 
977.0319 11.198 172.864 -0.26498 0.03317 1.434 0.64804 8.0000 6.82 1.0373 1.2485 1.268988 
976.6437 13.844 180.365 -0.36125 -0.00230 0.710 0.68845 8.0000 6.79 1.0021 1.3169 1.269493 
976.2556 13.086 177.072 -0.41399 0.02118 -5.039 0.84346 8.0000 6.77 1.1938 1.3987 1.269997 
975.8674 11.733 130.970 -0.26177 0.30145 0.639 0.91963 8.0000 6.90 1.2075 1.2950 1.270502 
975.4790 19.919 126.038 -0.38627 0.53091 0.478 0.78696 8.0000 7.06 1.2702 1.3562 1.271008 
975.0906 13.773 108.446 -0.12959 0.38851 -0.921 0.78522 8.0000 6.93 1.2226 1.2905 1.271515 
974.7021 13.844 118.602 -0.18479 0.33890 -8.271 0.73558 8.0000 7.08 1.1751 1.2546 1.272021 
974.3136 12.880 122.423 -0.18882 0.29727 0.601 0.72982 8.0000 7.06 1.0283 1.0906 1.272529 
973.9250 12.134 121.792 -0.16915 0.27290 0.015 0.71217 8.0000 7.08 0.8562 0.9025 1.273036 
973.5363 11.447 119.289 -0.13772 0.24553 0.030 0.66664 8.0000 7.20 0.7359 0.7695 1.273545 
973.1475 10.538 129.794 -0.12879 0.15461 -2.879 0.52215 8.0000 7.20 0.5512 0.5771 1.274053 
972.7586 1.642 242.517 -0.01868 -0.03591 -1.483 0.70563 8.0000 7.30 0.5777 0.6033 1.274563 
972.3697 5.971 245.390 -0.03910 -0.08536 -0.569 0.44395 8.0000 7.36 0.5492 0.5696 1.275073 
971.9807 21.225 136.794 -0.11029 0.10360 -0.202 0.16543 8.0000 7.38 0.5448 0.5607 1.275583 
971.5916 45.899 128.085 -0.14584 0.18610 -0.431 -0.00742 8.0000 7.42 0.7448 0.7600 1.276094 
971.2024 55.588 116.844 -0.11892 0.23498 0.224 -0.10202 8.0000 7.57 1.1736 1.1962 1.276605 
970.8131 66.877 112.881 -0.09359 0.22176 0.023 -0.23046 8.0000 7.44 1.4055 1.4353 1.277117 
970.4238 70.451 107.788 -0.06676 0.20809 0.005 -0.26893 8.0000 7.52 1.4599 1.4963 1.277629 
970.0344 64.806 64.715 0.15122 0.32013 0.002 -0.29302 8.0000 7.75 1.4388 1.5001 1.278142 
969.6449 45.894 110.046 -0.10976 0.30083 0.003 -0.01000 8.0000 7.74 1.5234 1.5629 1.278656 
969.2553 32.230 140.161 -0.34517 0.28798 0.001 0.21480 8.0000 7.69 1.4899 1.5527 1.279170 
968.8657 25.235 155.194 -0.60492 0.27959 -0.985 0.54991 8.0000 7.79 1.3991 1.5201 1.279684 
968.4760 25.479 164.800 -0.82532 0.22424 0.630 0.69362 8.0000 7.91 1.4025 1.5650 1.280199 
968.0861 23.746 166.035 -0.93420 0.23232 0.142 0.88237 8.0000 8.04 1.4925 1.6569 1.280714 
967.6962 20.798 165.195 -0.92184 0.24364 -0.627 1.07408 8.0000 8.04 1.5152 1.7383 1.281230 
967.3063 22.307 160.708 -0.73307 0.25660 0.651 0.78721 8.0000 8.03 1.4803 1.5543 1.281747 
966.9163 21.220 154.939 -0.52560 0.24578 0.669 0.63455 8.0000 8.16 1.1998 1.2819 1.282264 
966.5261 16.001 135.967 -0.25993 0.25130 -3.036 0.57858 8.0000 8.08 1.1887 1.3714 1.282782 
966.1359 21.183 41.674 0.52089 0.46368 0.632 0.76463 8.0000 8.01 0.7503 0.9732 1.283300 
965.7457 17.385 24.469 1.48945 0.67782 -0.417 2.35712 8.0000 8.09 0.8377 1.1454 1.283818 
