## SPECTRUM TYPE:
LCE

## DATE:
24/09/2026

## COMMENTS:

## NUMBER OF SPECTRUM:
1

## ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

## UNIT:
nm


# SPECTRUM:
1

# CAPTION:


# START TIME:
15:47:06

# END TIME:
15:47:06

# THETA ANGLE:
0.00 ø

# INCIDENCE ANGLE:
69.95 ø

# ACCUMULATION NUMBER:
28

# ELLIPSOMETRIC CONFIGURATION:
0.00 ø :Modulator
+45.00 øAnalyser

# INTEGRATION TIME:
8 ms

# FIRST POINT:
999.79 nm

# LAST POINT:
439.65 nm

# INCREMENT:
0.00 nm

# NUMBER OF POINTS:
1273

# DATA:
nm Psi Delta Ic Is Reflectance IcPrim IntegrationTime IntensityMax Polarization PolarizationGen eV 
999.7925 0.695 209.392 -1.42449 -0.80240 0.000 67.35753 8.0000 4.47 2.71830528004246733E18 8.20099719708121498E18 1.240099 
999.4089 0.695 209.392 -1.42449 -0.80240 0.390 67.35753 8.0000 4.44 2.52822665763487744E18 7.62753976078906163E18 1.240575 
999.0253 0.695 209.392 -1.42449 -0.80240 0.310 67.35753 8.0000 4.53 2.41011986735824896E18 7.24096301733511168E18 1.241052 
998.6415 0.695 209.392 -1.42449 -0.80240 0.363 67.35753 8.0000 4.54 2.2754039918713897E18 6.81424970142082662E18 1.241529 
998.2578 0.695 209.392 -1.42449 -0.80240 0.112 67.35753 8.0000 4.63 2.12223418810184499E18 6.34389292070941491E18 1.242006 
997.8739 0.695 209.392 -1.42449 -0.80240 0.332 67.35753 8.0000 4.63 1.94876451346553242E18 5.82316091525981798E18 1.242484 
997.4900 0.695 209.392 -1.42449 -0.80240 -0.009 67.35753 8.0000 4.63 1.75314985001209037E18 5.24894096765380198E18 1.242962 
997.1060 0.695 209.392 -1.42449 -0.80240 0.003 67.35753 8.0000 4.70 1.5335448049132503E18 4.61620391170591949E18 1.243440 
996.7219 0.695 209.392 -1.42449 -0.80240 -2.032 67.35753 8.0000 4.71 1.28810371046283674E18 3.92104180821314765E18 1.243920 
996.3377 0.695 209.392 -1.42449 -0.80240 -0.343 67.35753 8.0000 4.78 1.0149815174299648E18 3.16516054946598093E18 1.244399 
995.9535 0.695 209.392 -1.42449 -0.80240 -0.084 67.35753 8.0000 4.75 716023343764996096.0000 2.36513389886360781E18 1.244879 
995.5692 0.695 209.392 -1.42449 -0.80240 0.602 67.35753 8.0000 4.89 393074651015675904.0000 1.54997274558280499E18 1.245360 
995.1848 0.695 209.392 -1.42449 -0.80240 -0.398 67.35753 8.0000 4.96 51671785170534400.0000 915832575358926848.0000 1.245841 
