# ========================================================
# RESULTADOS DE AJUSTE ELIPSOMÉTRICO (AUTORANGE + TMM)
# ========================================================
# Archivo de origen: SiO2_Si.S1-2.txt
# Espesores óptimos (nm): [np.float64(13.00370030162282)]
# Error mínimo (Chi2 Red / MSE): 2.657618e-04
# Parámetros de dispersión optimizados:
# ========================================================
# Wavelength_nm	Is_exp	Is_fit	Ic_exp	Ic_fit	Psi_exp_deg	Psi_fit_deg	Delta_exp_deg	Delta_fit_deg
829.9594	0.171631	0.172440	-0.290131	-0.296027	9.8500	10.0174	149.3930	149.7785
829.5408	0.171976	0.172535	-0.290079	-0.296062	9.8540	10.0197	149.3380	149.7678
829.1221	0.171775	0.172630	-0.289129	-0.296098	9.8260	10.0221	149.2850	149.7571
828.7034	0.172130	0.172724	-0.289797	-0.296133	9.8490	10.0245	149.2910	149.7464
828.2845	0.171707	0.172819	-0.288557	-0.296168	9.8100	10.0269	149.2450	149.7357
827.8656	0.173280	0.172914	-0.290910	-0.296203	9.8960	10.0293	149.2200	149.7249
827.4465	0.173183	0.173010	-0.290126	-0.296239	9.8740	10.0317	149.1660	149.7142
827.0275	0.172766	0.173105	-0.288729	-0.296274	9.8310	10.0341	149.1050	149.7034
826.6082	0.172068	0.173177	-0.287767	-0.296330	9.7950	10.0367	149.1230	149.6977
826.1889	0.172632	0.173248	-0.288196	-0.296387	9.8150	10.0393	149.0780	149.6923
825.7695	0.172616	0.173310	-0.287861	-0.296453	9.8060	10.0420	149.0510	149.6889
825.3500	0.171798	0.173365	-0.286089	-0.296525	9.7470	10.0447	149.0150	149.6871
824.9305	0.170907	0.173420	-0.285011	-0.296597	9.7050	10.0474	149.0510	149.6852
824.5108	0.170496	0.173475	-0.284067	-0.296669	9.6740	10.0502	149.0280	149.6834
824.0911	0.170824	0.173530	-0.283716	-0.296742	9.6700	10.0529	148.9480	149.6815
823.6713	0.171298	0.173585	-0.284200	-0.296814	9.6900	10.0557	148.9210	149.6797
823.2513	0.171447	0.173641	-0.284110	-0.296886	9.6900	10.0584	148.8910	149.6778
822.8313	0.171637	0.173696	-0.284111	-0.296958	9.6930	10.0612	148.8630	149.6759
822.4112	0.171957	0.173752	-0.284494	-0.297030	9.7080	10.0640	148.8500	149.6739
821.9910	0.172271	0.173808	-0.285689	-0.297102	9.7440	10.0667	148.9100	149.6720
821.5707	0.172007	0.173870	-0.284925	-0.297173	9.7200	10.0695	148.8810	149.6689
821.1503	0.171741	0.173933	-0.284317	-0.297243	9.7000	10.0724	148.8660	149.6658
820.7299	0.172282	0.173991	-0.284797	-0.297314	9.7210	10.0751	148.8290	149.6634
820.3093	0.172464	0.174048	-0.285188	-0.297387	9.7340	10.0779	148.8370	149.6614
819.8886	0.172895	0.174104	-0.285427	-0.297459	9.7470	10.0807	148.7950	149.6594
819.4679	0.173546	0.174160	-0.285994	-0.297531	9.7720	10.0834	148.7500	149.6573
819.0471	0.174049	0.174217	-0.286689	-0.297603	9.7980	10.0862	148.7380	149.6552
818.6262	0.174305	0.174274	-0.286726	-0.297675	9.8030	10.0890	148.7040	149.6532
818.2051	0.174436	0.174330	-0.286492	-0.297747	9.7990	10.0917	148.6640	149.6511
817.7841	0.174853	0.174387	-0.287278	-0.297819	9.8260	10.0945	148.6730	149.6489
817.3629	0.174770	0.174444	-0.287367	-0.297890	9.8270	10.0973	148.6930	149.6468
816.9416	0.175238	0.174502	-0.288159	-0.297962	9.8550	10.1001	148.6950	149.6446
816.5202	0.175622	0.174559	-0.288733	-0.298034	9.8760	10.1028	148.6900	149.6425
816.0988	0.176033	0.174616	-0.289329	-0.298106	9.8980	10.1056	148.6830	149.6403
815.6772	0.176636	0.174695	-0.289808	-0.298170	9.9200	10.1085	148.6380	149.6343
815.2556	0.176450	0.174781	-0.289537	-0.298231	9.9100	10.1114	148.6410	149.6271
814.8338	0.177083	0.174872	-0.290189	-0.298290	9.9370	10.1144	148.6070	149.6191
814.4120	0.177756	0.174970	-0.290663	-0.298346	9.9600	10.1174	148.5520	149.6098
813.9901	0.177781	0.175068	-0.291070	-0.298402	9.9710	10.1204	148.5840	149.6005
813.5681	0.177913	0.175166	-0.291297	-0.298458	9.9790	10.1234	148.5850	149.5912
813.1460	0.178128	0.175264	-0.291204	-0.298514	9.9800	10.1264	148.5460	149.5819
812.7238	0.178225	0.175367	-0.291145	-0.298569	9.9800	10.1294	148.5270	149.5718
812.3015	0.179098	0.175473	-0.291918	-0.298623	10.0140	10.1325	148.4700	149.5613
811.8792	0.178461	0.175576	-0.291462	-0.298678	9.9920	10.1355	148.5210	149.5511
811.4567	0.178704	0.175675	-0.291698	-0.298734	10.0020	10.1385	148.5070	149.5417
811.0341	0.178913	0.175774	-0.291800	-0.298790	10.0080	10.1415	148.4860	149.5323
810.6115	0.178756	0.175873	-0.292127	-0.298846	10.0140	10.1445	148.5370	149.5229
810.1888	0.178995	0.175972	-0.292058	-0.298902	10.0160	10.1475	148.4970	149.5135
809.7659	0.179563	0.176071	-0.292287	-0.298958	10.0310	10.1506	148.4360	149.5040
809.3430	0.179883	0.176171	-0.292475	-0.299014	10.0410	10.1536	148.4070	149.4945
808.9200	0.180597	0.176270	-0.292458	-0.299069	10.0520	10.1566	148.3040	149.4851
808.4969	0.180982	0.176370	-0.292567	-0.299125	10.0610	10.1596	148.2590	149.4756
808.0737	0.181195	0.176470	-0.292397	-0.299181	10.0600	10.1626	148.2140	149.4661
807.6505	0.181031	0.176570	-0.292498	-0.299237	10.0600	10.1656	148.2460	149.4566
807.2271	0.181154	0.176670	-0.292422	-0.299293	10.0600	10.1686	148.2220	149.4470
806.8036	0.181497	0.176770	-0.292634	-0.299348	10.0710	10.1717	148.1920	149.4375
806.3801	0.181645	0.176870	-0.292850	-0.299404	10.0790	10.1747	148.1900	149.4279
805.9564	0.181980	0.176971	-0.292989	-0.299460	10.0880	10.1777	148.1550	149.4183
805.5327	0.182267	0.177073	-0.293120	-0.299518	10.0960	10.1808	148.1260	149.4087
805.1089	0.182806	0.177175	-0.293324	-0.299575	10.1100	10.1839	148.0680	149.3991
804.6850	0.182850	0.177286	-0.293760	-0.299647	10.1220	10.1876	148.1000	149.3893
804.2610	0.182981	0.177402	-0.293640	-0.299723	10.1210	10.1914	148.0710	149.3794
803.8369	0.183397	0.177520	-0.293805	-0.299799	10.1320	10.1952	148.0270	149.3690
803.4127	0.183782	0.177642	-0.294066	-0.299874	10.1450	10.1991	147.9960	149.3580
802.9884	0.183944	0.177764	-0.294235	-0.299949	10.1520	10.2029	147.9880	149.3469
802.5640	0.184046	0.177880	-0.294558	-0.300025	10.1620	10.2067	148.0020	149.3370
802.1396	0.184169	0.177996	-0.294481	-0.300101	10.1620	10.2106	147.9780	149.3270
801.7150	0.183980	0.178112	-0.294521	-0.300178	10.1600	10.2144	148.0080	149.3171
801.2903	0.184348	0.178228	-0.294755	-0.300254	10.1720	10.2182	147.9770	149.3071
800.8657	0.184245	0.178344	-0.294819	-0.300330	10.1720	10.2220	147.9970	149.2971
800.4408	0.184300	0.178460	-0.294553	-0.300406	10.1660	10.2258	147.9660	149.2871
800.0159	0.184365	0.178576	-0.294783	-0.300483	10.1730	10.2296	147.9770	149.2770
799.5909	0.184687	0.178693	-0.294736	-0.300559	10.1770	10.2335	147.9280	149.2670
799.1658	0.184814	0.178810	-0.295042	-0.300635	10.1870	10.2373	147.9370	149.2569
798.7406	0.185227	0.178927	-0.295208	-0.300711	10.1980	10.2411	147.8940	149.2469
798.3153	0.185575	0.179043	-0.295569	-0.300787	10.2130	10.2449	147.8770	149.2368
797.8899	0.186045	0.179161	-0.295892	-0.300863	10.2290	10.2488	147.8400	149.2267
797.4644	0.186125	0.179278	-0.295996	-0.300939	10.2330	10.2526	147.8380	149.2166
797.0389	0.186407	0.179395	-0.296205	-0.301015	10.2430	10.2564	147.8170	149.2065
