# ========================================================
# RESULTADOS DE AJUSTE ELIPSOMÉTRICO (AUTORANGE + TMM)
# ========================================================
# Archivo de origen: TiO2-RTP-aire.T1-2.txt
# Espesores óptimos (nm): [np.float64(42.73121163423691)]
# Error mínimo (Chi2 Red / MSE): 3.335738e-04
# Parámetros de dispersión optimizados:
#   Capa 'TiO2_RTP_aire': {'model': 'cauchy', 'A': 1.2797494883562899, 'B': 36.81873050417385, 'C': -21.480350675751748}
# ========================================================
# Wavelength_nm	Is_exp	Is_fit	Ic_exp	Ic_fit	Psi_exp_deg	Psi_fit_deg	Delta_exp_deg	Delta_fit_deg
829.9594	0.536681	0.563009	-0.096139	-0.079802	16.5200	17.3276	100.1560	98.0675
829.5408	0.538291	0.563247	-0.095942	-0.079519	16.5730	17.3344	100.1060	98.0359
829.1221	0.540465	0.563485	-0.095221	-0.079235	16.6420	17.3413	99.9920	98.0042
828.7034	0.540235	0.563724	-0.095015	-0.078951	16.6330	17.3481	99.9750	97.9725
828.2845	0.539377	0.563962	-0.093816	-0.078666	16.5970	17.3550	99.8670	97.9408
827.8656	0.540177	0.564200	-0.093480	-0.078380	16.6220	17.3618	99.8180	97.9090
827.4465	0.540846	0.564439	-0.092691	-0.078094	16.6400	17.3687	99.7250	97.8772
827.0275	0.540639	0.564677	-0.091471	-0.077807	16.6260	17.3755	99.6030	97.8454
826.6082	0.540923	0.564909	-0.091189	-0.077547	16.6340	17.3823	99.5690	97.8164
826.1889	0.540599	0.565140	-0.090300	-0.077289	16.6180	17.3891	99.4830	97.7875
825.7695	0.541533	0.565369	-0.090019	-0.077041	16.6480	17.3958	99.4380	97.7597
825.3500	0.542512	0.565595	-0.089287	-0.076801	16.6770	17.4025	99.3460	97.7328
824.9305	0.542479	0.565822	-0.088766	-0.076561	16.6730	17.4092	99.2930	97.7058
824.5108	0.542296	0.566049	-0.088260	-0.076320	16.6640	17.4160	99.2440	97.6788
824.0911	0.541605	0.566276	-0.087236	-0.076078	16.6350	17.4227	99.1500	97.6518
823.6713	0.541289	0.566502	-0.086623	-0.075836	16.6210	17.4294	99.0920	97.6247
823.2513	0.541433	0.566729	-0.086094	-0.075593	16.6230	17.4361	99.0350	97.5976
822.8313	0.540635	0.566956	-0.085531	-0.075350	16.5930	17.4429	98.9900	97.5704
822.4112	0.541251	0.567183	-0.085561	-0.075105	16.6140	17.4496	98.9830	97.5431
821.9910	0.542418	0.567410	-0.085843	-0.074861	16.6550	17.4563	98.9930	97.5158
821.5707	0.541419	0.567637	-0.085249	-0.074615	16.6180	17.4631	98.9480	97.4885
821.1503	0.541160	0.567864	-0.085014	-0.074369	16.6080	17.4698	98.9280	97.4611
820.7299	0.542203	0.568091	-0.084771	-0.074122	16.6420	17.4766	98.8860	97.4337
820.3093	0.542426	0.568318	-0.084854	-0.073874	16.6500	17.4833	98.8910	97.4062
819.8886	0.542520	0.568545	-0.084442	-0.073626	16.6510	17.4901	98.8470	97.3787
819.4679	0.543422	0.568772	-0.084146	-0.073377	16.6800	17.4968	98.8020	97.3511
819.0471	0.544531	0.568999	-0.084220	-0.073128	16.7180	17.5036	98.7920	97.3235
818.6262	0.545213	0.569226	-0.083809	-0.072878	16.7390	17.5104	98.7390	97.2959
818.2051	0.545623	0.569453	-0.083248	-0.072627	16.7500	17.5171	98.6750	97.2681
817.7841	0.546338	0.569681	-0.082801	-0.072375	16.7720	17.5239	98.6180	97.2404
817.3629	0.545845	0.569908	-0.082756	-0.072123	16.7550	17.5307	98.6210	97.2126
816.9416	0.546727	0.570135	-0.082763	-0.071870	16.7850	17.5375	98.6080	97.1847
816.5202	0.547072	0.570362	-0.082424	-0.071616	16.7950	17.5442	98.5680	97.1568
816.0988	0.547405	0.570589	-0.082357	-0.071362	16.8060	17.5510	98.5560	97.1288
815.6772	0.548289	0.570827	-0.081756	-0.071089	16.8330	17.5581	98.4810	97.0989
815.2556	0.548241	0.571068	-0.081485	-0.070811	16.8300	17.5653	98.4540	97.0684
814.8338	0.548755	0.571312	-0.081385	-0.070527	16.8470	17.5725	98.4360	97.0375
814.4120	0.549265	0.571559	-0.080913	-0.070237	16.8620	17.5799	98.3800	97.0058
813.9901	0.549512	0.571805	-0.081027	-0.069947	16.8710	17.5872	98.3880	96.9741
813.5681	0.550052	0.572052	-0.080950	-0.069655	16.8890	17.5946	98.3720	96.9424
813.1460	0.550101	0.572299	-0.080418	-0.069363	16.8880	17.6019	98.3170	96.9106
812.7238	0.550075	0.572546	-0.080188	-0.069070	16.8860	17.6093	98.2940	96.8787
812.3015	0.551548	0.572793	-0.079735	-0.068776	16.9340	17.6166	98.2260	96.8468
811.8792	0.550603	0.573039	-0.079785	-0.068482	16.9020	17.6240	98.2450	96.8149
811.4567	0.550965	0.573286	-0.079513	-0.068187	16.9130	17.6314	98.2120	96.7829
811.0341	0.551192	0.573533	-0.079153	-0.067891	16.9190	17.6387	98.1720	96.7509
810.6115	0.551233	0.573779	-0.079483	-0.067594	16.9220	17.6461	98.2050	96.7188
810.1888	0.551430	0.574026	-0.078922	-0.067297	16.9260	17.6535	98.1450	96.6867
809.7659	0.552165	0.574272	-0.078290	-0.066999	16.9480	17.6609	98.0700	96.6545
809.3430	0.552642	0.574518	-0.077807	-0.066700	16.9620	17.6682	98.0140	96.6222
808.9200	0.553270	0.574765	-0.076871	-0.066401	16.9790	17.6756	97.9100	96.5900
808.4969	0.553797	0.575011	-0.076235	-0.066100	16.9940	17.6830	97.8380	96.5576
808.0737	0.554008	0.575257	-0.075762	-0.065799	16.9990	17.6904	97.7870	96.5253
807.6505	0.554263	0.575503	-0.075599	-0.065497	17.0070	17.6978	97.7670	96.4928
807.2271	0.554186	0.575750	-0.075313	-0.065195	17.0030	17.7052	97.7390	96.4604
806.8036	0.554961	0.575996	-0.074541	-0.064892	17.0260	17.7126	97.6500	96.4278
806.3801	0.555541	0.576242	-0.074135	-0.064588	17.0440	17.7200	97.6010	96.3953
805.9564	0.556267	0.576488	-0.073501	-0.064283	17.0660	17.7274	97.5270	96.3626
805.5327	0.556814	0.576735	-0.072881	-0.063978	17.0820	17.7349	97.4570	96.3300
805.1089	0.557527	0.576983	-0.072103	-0.063673	17.1030	17.7424	97.3690	96.2974
804.6850	0.558004	0.577243	-0.071789	-0.063372	17.1180	17.7503	97.3310	96.2651
804.2610	0.558137	0.577508	-0.071202	-0.063073	17.1200	17.7584	97.2700	96.2329
803.8369	0.558580	0.577772	-0.070694	-0.062773	17.1330	17.7665	97.2130	96.2007
803.4127	0.559290	0.578037	-0.070367	-0.062472	17.1560	17.7746	97.1710	96.1684
802.9884	0.559557	0.578301	-0.070093	-0.062171	17.1640	17.7828	97.1400	96.1361
802.5640	0.560068	0.578565	-0.069720	-0.061868	17.1800	17.7909	97.0960	96.1037
802.1396	0.560060	0.578830	-0.069313	-0.061565	17.1780	17.7990	97.0550	96.0712
801.7150	0.560191	0.579094	-0.069200	-0.061261	17.1820	17.8071	97.0420	96.0387
801.2903	0.560899	0.579358	-0.068631	-0.060956	17.2040	17.8153	96.9760	96.0062
800.8657	0.560951	0.579622	-0.068439	-0.060651	17.2050	17.8234	96.9560	95.9736
800.4408	0.560786	0.579886	-0.067892	-0.060344	17.1970	17.8315	96.9030	95.9410
800.0159	0.561161	0.580150	-0.067669	-0.060037	17.2090	17.8397	96.8760	95.9083
799.5909	0.561415	0.580413	-0.067004	-0.059729	17.2150	17.8478	96.8060	95.8755
799.1658	0.561876	0.580677	-0.066781	-0.059420	17.2300	17.8559	96.7780	95.8427
798.7406	0.562286	0.580941	-0.066252	-0.059111	17.2420	17.8641	96.7200	95.8098
798.3153	0.562953	0.581204	-0.066002	-0.058800	17.2640	17.8722	96.6870	95.7769
797.8899	0.563808	0.581468	-0.065374	-0.058489	17.2910	17.8804	96.6140	95.7440
797.4644	0.564046	0.581731	-0.065063	-0.058177	17.2980	17.8885	96.5800	95.7109
797.0389	0.564653	0.581994	-0.064564	-0.057864	17.3170	17.8967	96.5230	95.6779
796.6132	0.565164	0.582257	-0.064133	-0.057550	17.3330	17.9048	96.4740	95.6448
796.1875	0.565135	0.582521	-0.063630	-0.057235	17.3300	17.9130	96.4240	95.6116
795.7617	0.565619	0.582784	-0.063174	-0.056920	17.3450	17.9212	96.3730	95.5783
795.3357	0.566210	0.583046	-0.062530	-0.056604	17.3630	17.9293	96.3020	95.5450
794.9097	0.566848	0.583307	-0.061980	-0.056287	17.3830	17.9374	96.2400	95.5117
794.4836	0.567224	0.583561	-0.061170	-0.055970	17.3930	17.9453	96.1550	95.4785
794.0574	0.567501	0.583815	-0.061009	-0.055652	17.4020	17.9532	96.1360	95.4453
793.6310	0.567991	0.584067	-0.060470	-0.055334	17.4170	17.9610	96.0770	95.4120
793.2047	0.568519	0.584318	-0.059834	-0.055015	17.4330	17.9688	96.0080	95.3787
792.7782	0.568764	0.584570	-0.059418	-0.054695	17.4400	17.9766	95.9640	95.3453
792.3516	0.568991	0.584821	-0.059181	-0.054375	17.4470	17.9844	95.9380	95.3119
791.9249	0.569003	0.585072	-0.058781	-0.054053	17.4460	17.9922	95.8980	95.2784
791.4982	0.569708	0.585323	-0.058361	-0.053731	17.4690	18.0000	95.8490	95.2449
