# ========================================================
# RESULTADOS DE AJUSTE ELIPSOMÉTRICO (AUTORANGE + TMM)
# ========================================================
# Archivo de origen: TiO2-RTP-oxigeno.T1-2.txt
# Espesores óptimos (nm): [np.float64(42.5154168238265)]
# Error mínimo (Chi2 Red / MSE): 5.969224e-04
# Parámetros de dispersión optimizados:
#   Capa 'TiO2_RTP_oxigeno': {'model': 'cauchy', 'A': 1.2136784273229129, 'B': 43.25267588802576, 'C': -28.019020371354056}
# ========================================================
# Wavelength_nm	Is_exp	Is_fit	Ic_exp	Ic_fit	Psi_exp_deg	Psi_fit_deg	Delta_exp_deg	Delta_fit_deg
829.9594	0.523182	0.561262	-0.098024	-0.078299	16.0800	17.2601	100.6120	97.9418
829.5408	0.524963	0.561496	-0.097979	-0.078000	16.1390	17.2668	100.5720	97.9086
829.1221	0.527128	0.561731	-0.096974	-0.077700	16.2050	17.2734	100.4240	97.8754
828.7034	0.526588	0.561965	-0.096980	-0.077400	16.1870	17.2800	100.4350	97.8421
828.2845	0.527388	0.562199	-0.095881	-0.077099	16.2070	17.2867	100.3040	97.8088
827.8656	0.527538	0.562433	-0.095718	-0.076798	16.2110	17.2933	100.2840	97.7754
827.4465	0.528027	0.562667	-0.094998	-0.076495	16.2230	17.3000	100.1990	97.7420
827.0275	0.528517	0.562901	-0.093591	-0.076192	16.2310	17.3066	100.0420	97.7085
826.6082	0.528200	0.563128	-0.093355	-0.075917	16.2190	17.3132	100.0230	97.6779
826.1889	0.527732	0.563355	-0.092275	-0.075642	16.1970	17.3197	99.9180	97.6474
825.7695	0.527859	0.563579	-0.091718	-0.075378	16.1980	17.3262	99.8570	97.6181
825.3500	0.528850	0.563801	-0.090654	-0.075123	16.2250	17.3327	99.7270	97.5896
824.9305	0.529800	0.564024	-0.090161	-0.074866	16.2540	17.3392	99.6580	97.5610
824.5108	0.529327	0.564246	-0.089605	-0.074609	16.2350	17.3457	99.6080	97.5324
824.0911	0.529534	0.564468	-0.088557	-0.074352	16.2360	17.3522	99.4940	97.5038
823.6713	0.529684	0.564690	-0.088012	-0.074094	16.2380	17.3587	99.4340	97.4751
823.2513	0.530015	0.564912	-0.087458	-0.073834	16.2460	17.3652	99.3700	97.4464
822.8313	0.529282	0.565134	-0.087015	-0.073575	16.2190	17.3718	99.3360	97.4176
822.4112	0.529985	0.565356	-0.086912	-0.073314	16.2420	17.3783	99.3130	97.3888
821.9910	0.530751	0.565578	-0.087152	-0.073053	16.2690	17.3848	99.3250	97.3599
821.5707	0.529677	0.565800	-0.086605	-0.072792	16.2300	17.3913	99.2860	97.3310
821.1503	0.529052	0.566022	-0.086228	-0.072529	16.2070	17.3978	99.2570	97.3020
820.7299	0.530231	0.566244	-0.085955	-0.072266	16.2450	17.4043	99.2080	97.2730
820.3093	0.531033	0.566466	-0.085971	-0.072002	16.2720	17.4108	99.1960	97.2439
819.8886	0.530889	0.566688	-0.085386	-0.071737	16.2640	17.4173	99.1370	97.2147
819.4679	0.531386	0.566910	-0.084886	-0.071472	16.2780	17.4239	99.0760	97.1856
819.0471	0.532374	0.567132	-0.084853	-0.071206	16.3110	17.4304	99.0560	97.1563
818.6262	0.532959	0.567353	-0.084546	-0.070940	16.3290	17.4369	99.0140	97.1271
818.2051	0.533258	0.567575	-0.083973	-0.070672	16.3360	17.4434	98.9490	97.0977
817.7841	0.533985	0.567797	-0.083696	-0.070404	16.3590	17.4500	98.9080	97.0683
817.3629	0.533637	0.568018	-0.083451	-0.070136	16.3460	17.4565	98.8880	97.0389
816.9416	0.535022	0.568240	-0.083524	-0.069866	16.3930	17.4630	98.8730	97.0094
816.5202	0.535750	0.568462	-0.083235	-0.069596	16.4160	17.4696	98.8310	96.9799
816.0988	0.536657	0.568683	-0.083127	-0.069325	16.4460	17.4761	98.8050	96.9503
815.6772	0.537634	0.568915	-0.082558	-0.069036	16.4760	17.4829	98.7300	96.9188
815.2556	0.537579	0.569150	-0.082338	-0.068740	16.4730	17.4899	98.7080	96.8866
814.8338	0.538099	0.569388	-0.082235	-0.068440	16.4900	17.4968	98.6890	96.8540
814.4120	0.538671	0.569628	-0.081784	-0.068133	16.5070	17.5039	98.6330	96.8207
813.9901	0.538806	0.569869	-0.081871	-0.067825	16.5120	17.5110	98.6400	96.7873
813.5681	0.539228	0.570110	-0.081820	-0.067516	16.5260	17.5181	98.6280	96.7539
813.1460	0.539358	0.570350	-0.081156	-0.067207	16.5270	17.5252	98.5570	96.7204
812.7238	0.539330	0.570591	-0.080950	-0.066897	16.5250	17.5323	98.5360	96.6869
812.3015	0.540717	0.570831	-0.080570	-0.066586	16.5700	17.5394	98.4750	96.6533
811.8792	0.539670	0.571071	-0.080452	-0.066274	16.5340	17.5464	98.4790	96.6197
811.4567	0.539968	0.571311	-0.080236	-0.065962	16.5430	17.5535	98.4520	96.5861
811.0341	0.540228	0.571551	-0.079880	-0.065649	16.5500	17.5606	98.4110	96.5523
810.6115	0.540325	0.571791	-0.080222	-0.065335	16.5550	17.5677	98.4450	96.5186
810.1888	0.540467	0.572030	-0.079665	-0.065020	16.5570	17.5748	98.3850	96.4848
809.7659	0.541076	0.572270	-0.079137	-0.064705	16.5750	17.5819	98.3210	96.4509
809.3430	0.541422	0.572509	-0.078589	-0.064389	16.5840	17.5890	98.2590	96.4170
808.9200	0.542039	0.572749	-0.077790	-0.064072	16.6010	17.5961	98.1670	96.3830
