# ========================================================
# RESULTADOS DE AJUSTE ELIPSOMÉTRICO (AUTORANGE + TMM)
# ========================================================
# Archivo de origen: TiO2-RTP-oxigeno.T1.txt
# Espesores óptimos (nm): [np.float64(42.89494263263741)]
# Error mínimo (Chi2 Red / MSE): 6.133548e-04
# Parámetros de dispersión optimizados:
#   Capa 'TiO2_oxigeno_T1': {'model': 'cauchy', 'A': 1.2226657229760198, 'B': 43.11496217535366, 'C': -27.608317363601472}
# ========================================================
# Wavelength_nm	Is_exp	Is_fit	Ic_exp	Ic_fit	Psi_exp_deg	Psi_fit_deg	Delta_exp_deg	Delta_fit_deg
829.9594	0.529429	0.564831	-0.093000	-0.072710	16.2580	17.3574	99.9630	97.3353
829.5408	0.528153	0.565062	-0.092434	-0.072406	16.2120	17.3640	99.9270	97.3020
829.1221	0.529094	0.565292	-0.091143	-0.072101	16.2360	17.3706	99.7740	97.2686
828.7034	0.529296	0.565522	-0.091187	-0.071795	16.2430	17.3772	99.7750	97.2352
828.2845	0.528876	0.565752	-0.089975	-0.071489	16.2220	17.3839	99.6550	97.2017
827.8656	0.527970	0.565982	-0.089679	-0.071181	16.1900	17.3905	99.6400	97.1682
827.4465	0.528293	0.566212	-0.089003	-0.070874	16.1970	17.3971	99.5630	97.1347
827.0275	0.530551	0.566441	-0.088003	-0.070565	16.2670	17.4037	99.4180	97.1011
826.6082	0.532388	0.566665	-0.088069	-0.070284	16.3290	17.4102	99.3930	97.0703
826.1889	0.532155	0.566888	-0.086953	-0.070004	16.3150	17.4168	99.2800	97.0397
825.7695	0.533769	0.567109	-0.086729	-0.069735	16.3680	17.4233	99.2290	97.0102
825.3500	0.534947	0.567328	-0.085876	-0.069474	16.4030	17.4297	99.1200	96.9816
824.9305	0.532683	0.567546	-0.084969	-0.069212	16.3220	17.4362	99.0630	96.9529
824.5108	0.530272	0.567765	-0.084025	-0.068949	16.2360	17.4427	99.0040	96.9241
824.0911	0.529348	0.567983	-0.082884	-0.068686	16.1990	17.4491	98.8990	96.8953
823.6713	0.529868	0.568202	-0.082416	-0.068423	16.2140	17.4556	98.8410	96.8665
823.2513	0.531416	0.568420	-0.082040	-0.068158	16.2640	17.4621	98.7760	96.8376
822.8313	0.531049	0.568639	-0.081717	-0.067893	16.2500	17.4686	98.7480	96.8086
822.4112	0.532305	0.568857	-0.081682	-0.067627	16.2920	17.4751	98.7240	96.7796
821.9910	0.532750	0.569076	-0.081884	-0.067360	16.3080	17.4815	98.7380	96.7506
821.5707	0.531516	0.569294	-0.081390	-0.067093	16.2640	17.4880	98.7060	96.7215
821.1503	0.530532	0.569512	-0.081012	-0.066825	16.2290	17.4945	98.6820	96.6923
820.7299	0.531189	0.569731	-0.080610	-0.066556	16.2490	17.5010	98.6290	96.6631
820.3093	0.531642	0.569949	-0.080565	-0.066287	16.2640	17.5075	98.6170	96.6339
819.8886	0.531939	0.570167	-0.080173	-0.066017	16.2720	17.5140	98.5710	96.6046
819.4679	0.532869	0.570385	-0.079923	-0.065746	16.3020	17.5205	98.5300	96.5752
819.0471	0.533955	0.570603	-0.080019	-0.065474	16.3390	17.5270	98.5230	96.5458
818.6262	0.534273	0.570821	-0.079676	-0.065202	16.3480	17.5335	98.4820	96.5164
818.2051	0.533872	0.571039	-0.078978	-0.064929	16.3310	17.5400	98.4150	96.4869
817.7841	0.534554	0.571257	-0.078583	-0.064656	16.3520	17.5465	98.3630	96.4573
817.3629	0.533971	0.571475	-0.078507	-0.064381	16.3320	17.5530	98.3640	96.4277
816.9416	0.535695	0.571693	-0.078694	-0.064106	16.3910	17.5595	98.3570	96.3981
816.5202	0.536370	0.571911	-0.078334	-0.063830	16.4120	17.5660	98.3090	96.3684
816.0988	0.537416	0.572128	-0.078276	-0.063554	16.4470	17.5725	98.2870	96.3386
815.6772	0.538606	0.572356	-0.077825	-0.063258	16.4850	17.5793	98.2220	96.3069
815.2556	0.538331	0.572587	-0.077479	-0.062957	16.4740	17.5862	98.1900	96.2746
814.8338	0.539200	0.572820	-0.077402	-0.062651	16.5030	17.5931	98.1690	96.2418
814.4120	0.540399	0.573057	-0.077074	-0.062338	16.5420	17.6002	98.1170	96.2083
813.9901	0.540902	0.573293	-0.077280	-0.062024	16.5600	17.6072	98.1310	96.1748
813.5681	0.541350	0.573530	-0.077238	-0.061710	16.5750	17.6143	98.1200	96.1412
813.1460	0.540926	0.573766	-0.076484	-0.061394	16.5570	17.6213	98.0480	96.1076
812.7238	0.540869	0.574002	-0.076264	-0.061078	16.5540	17.6284	98.0260	96.0739
812.3015	0.542162	0.574238	-0.075878	-0.060762	16.5960	17.6355	97.9670	96.0401
811.8792	0.541169	0.574474	-0.075806	-0.060444	16.5620	17.6425	97.9740	96.0064
811.4567	0.541538	0.574709	-0.075491	-0.060126	16.5730	17.6496	97.9360	95.9725
811.0341	0.541861	0.574945	-0.075074	-0.059806	16.5820	17.6567	97.8880	95.9386
810.6115	0.542026	0.575180	-0.075376	-0.059487	16.5890	17.6637	97.9170	95.9047
