# TiO2_aire_T1-2
# wavelength_nm	indice_refraccion
829.9594	1.768806
829.5408	1.769254
829.1221	1.769703
828.7034	1.770152
828.2845	1.770603
827.8656	1.771054
827.4465	1.771505
827.0275	1.771957
826.6082	1.772410
826.1889	1.772864
825.7695	1.773318
825.3500	1.773773
824.9305	1.774229
824.5108	1.774685
824.0911	1.775142
823.6713	1.775600
823.2513	1.776059
822.8313	1.776518
822.4112	1.776978
821.9910	1.777439
821.5707	1.777900
821.1503	1.778362
820.7299	1.778825
820.3093	1.779288
819.8886	1.779752
819.4679	1.780217
819.0471	1.780683
818.6262	1.781149
818.2051	1.781616
817.7841	1.782084
817.3629	1.782552
816.9416	1.783022
816.5202	1.783492
816.0988	1.783962
815.6772	1.784434
815.2556	1.784906
814.8338	1.785379
814.4120	1.785852
813.9901	1.786326
813.5681	1.786801
813.1460	1.787277
812.7238	1.787754
812.3015	1.788231
811.8792	1.788709
811.4567	1.789188
811.0341	1.789667
810.6115	1.790148
810.1888	1.790628
809.7659	1.791110
809.3430	1.791593
808.9200	1.792076
808.4969	1.792560
808.0737	1.793045
807.6505	1.793530
807.2271	1.794016
806.8036	1.794503
806.3801	1.794991
805.9564	1.795480
805.5327	1.795969
805.1089	1.796459
804.6850	1.796950
804.2610	1.797441
803.8369	1.797934
803.4127	1.798427
802.9884	1.798921
802.5640	1.799416
802.1396	1.799911
801.7150	1.800407
801.2903	1.800904
800.8657	1.801402
800.4408	1.801901
800.0159	1.802400
799.5909	1.802900
799.1658	1.803401
798.7406	1.803903
798.3153	1.804405
797.8899	1.804909
797.4644	1.805413
797.0389	1.805918
796.6132	1.806423
796.1875	1.806930
795.7617	1.807437
795.3357	1.807945
794.9097	1.808454
794.4836	1.808964
794.0574	1.809474
793.6310	1.809986
793.2047	1.810498
792.7782	1.811011
792.3516	1.811524
791.9249	1.812039
791.4982	1.812554
791.0714	1.813071
790.6444	1.813588
790.2173	1.814106
789.7902	1.814624
789.3630	1.815144
788.9357	1.815664
788.5083	1.816185
788.0807	1.816707
787.6532	1.817230
787.2255	1.817754
786.7977	1.818278
786.3699	1.818803
785.9419	1.819329
785.5139	1.819856
785.0857	1.820384
784.6575	1.820913
784.2291	1.821443
783.8007	1.821973
783.3722	1.822504
782.9435	1.823036
782.5148	1.823569
782.0861	1.824103
781.6572	1.824638
781.2282	1.825173
780.7991	1.825709
780.3699	1.826247
779.9407	1.826785
779.5113	1.827324
779.0818	1.827864
778.6523	1.828404
778.2227	1.828946
777.7930	1.829488
777.3632	1.830031
776.9332	1.830576
776.5032	1.831121
776.0731	1.831667
775.6429	1.832214
775.2126	1.832761
774.7822	1.833310
774.3517	1.833859
773.9212	1.834410
773.4905	1.834961
773.0598	1.835513
772.6289	1.836066
772.1980	1.836620
