# TiO2_oxigeno_T1
# Longitud_de_onda[nm]	Indice_refraccion
829.9594	1.790394
829.5408	1.790908
829.1221	1.791423
828.7034	1.791939
828.2845	1.792456
827.8656	1.792973
827.4465	1.793491
827.0275	1.794010
826.6082	1.794530
826.1889	1.795051
825.7695	1.795572
825.3500	1.796094
824.9305	1.796617
824.5108	1.797140
824.0911	1.797665
823.6713	1.798190
823.2513	1.798716
822.8313	1.799243
822.4112	1.799770
821.9910	1.800299
821.5707	1.800828
821.1503	1.801358
820.7299	1.801889
820.3093	1.802420
819.8886	1.802953
819.4679	1.803486
819.0471	1.804020
818.6262	1.804555
818.2051	1.805091
817.7841	1.805627
817.3629	1.806164
816.9416	1.806702
816.5202	1.807241
816.0988	1.807781
815.6772	1.808321
815.2556	1.808863
814.8338	1.809405
814.4120	1.809948
813.9901	1.810492
813.5681	1.811036
813.1460	1.811582
812.7238	1.812128
812.3015	1.812675
811.8792	1.813223
811.4567	1.813772
811.0341	1.814322
810.6115	1.814872
810.1888	1.815424
809.7659	1.815976
809.3430	1.816529
808.9200	1.817083
808.4969	1.817638
808.0737	1.818193
807.6505	1.818749
807.2271	1.819307
806.8036	1.819865
806.3801	1.820424
805.9564	1.820984
805.5327	1.821544
805.1089	1.822106
804.6850	1.822668
804.2610	1.823232
803.8369	1.823796
803.4127	1.824361
802.9884	1.824927
802.5640	1.825494
802.1396	1.826061
801.7150	1.826630
801.2903	1.827199
800.8657	1.827769
800.4408	1.828340
800.0159	1.828912
799.5909	1.829485
799.1658	1.830059
798.7406	1.830634
798.3153	1.831209
797.8899	1.831786
797.4644	1.832363
797.0389	1.832941
796.6132	1.833521
796.1875	1.834101
795.7617	1.834682
795.3357	1.835264
794.9097	1.835846
794.4836	1.836430
794.0574	1.837014
793.6310	1.837600
793.2047	1.838186
792.7782	1.838774
792.3516	1.839362
791.9249	1.839951
791.4982	1.840541
791.0714	1.841132
790.6444	1.841724
790.2173	1.842317
789.7902	1.842910
789.3630	1.843505
788.9357	1.844101
788.5083	1.844697
788.0807	1.845295
787.6532	1.845893
787.2255	1.846492
786.7977	1.847093
786.3699	1.847694
785.9419	1.848296
785.5139	1.848899
785.0857	1.849503
784.6575	1.850108
784.2291	1.850714
783.8007	1.851321
783.3722	1.851928
782.9435	1.852537
782.5148	1.853147
782.0861	1.853758
781.6572	1.854369
781.2282	1.854982
780.7991	1.855596
780.3699	1.856210
779.9407	1.856826
779.5113	1.857442
779.0818	1.858060
778.6523	1.858678
778.2227	1.859297
777.7930	1.859918
777.3632	1.860539
776.9332	1.861161
776.5032	1.861785
776.0731	1.862409
775.6429	1.863034
775.2126	1.863661
