# TiO2_RTP_oxigeno
# Longitud_de_onda[nm]	Indice_refraccion
829.9594	1.782540
829.5408	1.783055
829.1221	1.783570
828.7034	1.784086
828.2845	1.784603
827.8656	1.785121
827.4465	1.785639
827.0275	1.786158
826.6082	1.786679
826.1889	1.787199
825.7695	1.787721
825.3500	1.788243
824.9305	1.788766
824.5108	1.789290
824.0911	1.789815
823.6713	1.790340
823.2513	1.790867
822.8313	1.791394
822.4112	1.791921
821.9910	1.792450
821.5707	1.792980
821.1503	1.793510
820.7299	1.794041
820.3093	1.794573
819.8886	1.795105
819.4679	1.795639
819.0471	1.796173
818.6262	1.796708
818.2051	1.797244
817.7841	1.797781
817.3629	1.798318
816.9416	1.798856
816.5202	1.799396
816.0988	1.799935
815.6772	1.800476
815.2556	1.801018
814.8338	1.801560
814.4120	1.802103
813.9901	1.802647
813.5681	1.803192
813.1460	1.803738
812.7238	1.804285
812.3015	1.804832
811.8792	1.805380
811.4567	1.805929
811.0341	1.806479
810.6115	1.807030
810.1888	1.807581
809.7659	1.808134
809.3430	1.808687
808.9200	1.809241
808.4969	1.809796
808.0737	1.810352
807.6505	1.810908
807.2271	1.811466
806.8036	1.812024
806.3801	1.812583
805.9564	1.813143
805.5327	1.813704
805.1089	1.814266
804.6850	1.814828
804.2610	1.815392
803.8369	1.815956
803.4127	1.816521
802.9884	1.817087
802.5640	1.817654
802.1396	1.818222
801.7150	1.818791
801.2903	1.819360
800.8657	1.819931
800.4408	1.820502
800.0159	1.821074
799.5909	1.821647
799.1658	1.822221
798.7406	1.822796
798.3153	1.823372
797.8899	1.823948
797.4644	1.824526
797.0389	1.825104
796.6132	1.825684
796.1875	1.826264
795.7617	1.826845
795.3357	1.827427
794.9097	1.828010
794.4836	1.828593
794.0574	1.829178
793.6310	1.829764
793.2047	1.830350
792.7782	1.830938
792.3516	1.831526
791.9249	1.832115
791.4982	1.832705
791.0714	1.833296
790.6444	1.833888
790.2173	1.834481
789.7902	1.835075
789.3630	1.835670
788.9357	1.836266
788.5083	1.836862
788.0807	1.837460
787.6532	1.838058
787.2255	1.838658
786.7977	1.839258
786.3699	1.839859
785.9419	1.840462
785.5139	1.841065
785.0857	1.841669
784.6575	1.842274
784.2291	1.842880
783.8007	1.843487
783.3722	1.844095
782.9435	1.844704
782.5148	1.845313
782.0861	1.845924
781.6572	1.846536
781.2282	1.847148
780.7991	1.847762
780.3699	1.848377
779.9407	1.848992
779.5113	1.849609
779.0818	1.850226
778.6523	1.850845
778.2227	1.851464
777.7930	1.852085
777.3632	1.852706
776.9332	1.853328
776.5032	1.853952
776.0731	1.854576
775.6429	1.855201
775.2126	1.855828
774.7822	1.856455
774.3517	1.857083
773.9212	1.857713
773.4905	1.858343
773.0598	1.858974
772.6289	1.859606
772.1980	1.860240
771.7669	1.860874
771.3358	1.861509
770.9046	1.862145
770.4733	1.862783
770.0419	1.863421
769.6104	1.864060
769.1787	1.864701
768.7471	1.865342
768.3152	1.865985
767.8834	1.866628
767.4514	1.867272
767.0193	1.867918
766.5872	1.868564
766.1549	1.869212
765.7225	1.869860
765.2901	1.870510
764.8575	1.871160
764.4249	1.871812
763.9922	1.872465
763.5593	1.873118
763.1264	1.873773
762.6934	1.874429
762.2603	1.875086
761.8271	1.875744
761.3938	1.876403
760.9604	1.877063
760.5269	1.877724
760.0933	1.878386
759.6597	1.879049
759.2259	1.879713
758.7921	1.880378
758.3581	1.881045
757.9240	1.881712
757.4899	1.882381
757.0556	1.883050
756.6213	1.883721
756.1868	1.884393
755.7523	1.885066
755.3177	1.885739
754.8830	1.886414
754.4482	1.887090
754.0132	1.887768
753.5782	1.888446
753.1431	1.889125
752.7079	1.889806
752.2726	1.890487
751.8373	1.891170
751.4018	1.891854
750.9662	1.892538
750.5306	1.893224
750.0948	1.893911
749.6589	1.894600
749.2230	1.895289
748.7869	1.895979
748.3508	1.896671
747.9146	1.897363
747.4782	1.898057
747.0417	1.898752
746.6052	1.899448
746.1686	1.900145
745.7319	1.900843
745.2950	1.901543
744.8582	1.902243
744.4211	1.902945
743.9841	1.903647
743.5468	1.904352
743.1096	1.905056
742.6722	1.905763
742.2347	1.906470
741.7971	1.907179
741.3594	1.907888
740.9216	1.908599
740.4838	1.909311
740.0458	1.910024
739.6077	1.910739
739.1696	1.911454
738.7313	1.912171
738.2930	1.912888
737.8545	1.913607
737.4160	1.914327
736.9773	1.915049
736.5386	1.915771
736.0997	1.916495
735.6608	1.917220
735.2218	1.917946
734.7827	1.918673
734.3434	1.919402
733.9041	1.920131
733.4647	1.920862
733.0252	1.921594
732.5856	1.922327
732.1459	1.923062
731.7061	1.923797
731.2662	1.924534
730.8262	1.925272
730.3861	1.926012
729.9459	1.926752
729.5057	1.927494
729.0653	1.928236
728.6248	1.928981
728.1843	1.929726
727.7436	1.930472
727.3028	1.931220
726.8619	1.931969
726.4210	1.932720
725.9799	1.933471
725.5388	1.934224
725.0975	1.934978
724.6561	1.935733
724.2147	1.936490
723.7732	1.937247
723.3315	1.938006
722.8898	1.938766
722.4479	1.939528
722.0060	1.940291
721.5640	1.941055
721.1218	1.941820
720.6796	1.942587
720.2373	1.943354
719.7949	1.944123
719.3524	1.944894
718.9097	1.945665
718.4670	1.946438
718.0242	1.947212
717.5813	1.947988
717.1383	1.948765
716.6952	1.949543
716.2520	1.950322
715.8087	1.951103
715.3653	1.951884
714.9218	1.952668
714.4782	1.953452
714.0345	1.954238
713.5907	1.955025
713.1469	1.955814
712.7028	1.956603
712.2588	1.957394
711.8146	1.958187
711.3703	1.958981
710.9259	1.959776
710.4814	1.960572
710.0369	1.961370
709.5922	1.962169
709.1474	1.962969
708.7026	1.963771
708.2576	1.964574
707.8125	1.965378
707.3674	1.966184
706.9221	1.966991
706.4767	1.967799
706.0313	1.968609
705.5857	1.969420
705.1401	1.970232
704.6943	1.971046
704.2484	1.971862
703.8025	1.972678
703.3564	1.973496
702.9103	1.974315
702.4641	1.975136
702.0177	1.975958
701.5712	1.976781
701.1247	1.977606
700.6780	1.978432
700.2313	1.979260
699.7844	1.980089
699.3375	1.980919
698.8904	1.981751
698.4433	1.982584
697.9961	1.983419
697.5488	1.984254
697.1013	1.985092
696.6537	1.985931
696.2061	1.986771
695.7584	1.987612
695.3105	1.988456
694.8626	1.989300
694.4146	1.990146
693.9664	1.990993
693.5182	1.991842
693.0699	1.992692
692.6215	1.993543
692.1729	1.994396
691.7243	1.995251
691.2756	1.996107
690.8267	1.996964
690.3778	1.997823
689.9288	1.998683
689.4797	1.999544
689.0304	2.000408
688.5811	2.001272
688.1317	2.002138
687.6821	2.003006
687.2325	2.003875
686.7828	2.004745
686.3329	2.005617
685.8830	2.006491
685.4330	2.007365
684.9828	2.008242
684.5327	2.009120
684.0823	2.009999
683.6319	2.010880
683.1813	2.011762
682.7307	2.012646
682.2800	2.013531
681.8292	2.014418
681.3782	2.015306
680.9272	2.016196
680.4761	2.017088
680.0248	2.017981
679.5735	2.018875
679.1221	2.019771
678.6705	2.020668
678.2189	2.021567
677.7672	2.022467
677.3154	2.023369
676.8634	2.024273
676.4114	2.025178
675.9592	2.026085
675.5070	2.026993
675.0547	2.027902
674.6022	2.028814
674.1497	2.029726
673.6971	2.030641
673.2443	2.031557
672.7915	2.032474
672.3386	2.033393
671.8855	2.034314
671.4324	2.035236
670.9791	2.036160
670.5258	2.037085
670.0723	2.038012
669.6188	2.038940
669.1651	2.039870
668.7114	2.040802
668.2575	2.041735
667.8035	2.042670
667.3495	2.043606
