# TiO2_RTP_aire
# Longitud_de_onda[nm]	Indice_refraccion
829.9594	1.768988
829.5408	1.769436
829.1221	1.769885
828.7034	1.770335
828.2845	1.770785
827.8656	1.771236
827.4465	1.771687
827.0275	1.772139
826.6082	1.772592
826.1889	1.773046
825.7695	1.773500
825.3500	1.773955
824.9305	1.774411
824.5108	1.774867
824.0911	1.775324
823.6713	1.775782
823.2513	1.776241
822.8313	1.776700
822.4112	1.777160
821.9910	1.777620
821.5707	1.778082
821.1503	1.778544
820.7299	1.779006
820.3093	1.779470
819.8886	1.779934
819.4679	1.780399
819.0471	1.780865
818.6262	1.781331
818.2051	1.781798
817.7841	1.782266
817.3629	1.782734
816.9416	1.783203
816.5202	1.783673
816.0988	1.784144
815.6772	1.784615
815.2556	1.785087
814.8338	1.785560
814.4120	1.786034
813.9901	1.786508
813.5681	1.786983
813.1460	1.787459
812.7238	1.787935
812.3015	1.788413
811.8792	1.788891
811.4567	1.789369
811.0341	1.789849
810.6115	1.790329
810.1888	1.790810
809.7659	1.791292
809.3430	1.791774
808.9200	1.792257
808.4969	1.792741
808.0737	1.793226
807.6505	1.793712
807.2271	1.794198
806.8036	1.794685
806.3801	1.795173
805.9564	1.795661
805.5327	1.796150
805.1089	1.796640
804.6850	1.797131
804.2610	1.797623
803.8369	1.798115
803.4127	1.798608
802.9884	1.799102
802.5640	1.799597
802.1396	1.800092
801.7150	1.800589
801.2903	1.801086
800.8657	1.801583
800.4408	1.802082
800.0159	1.802581
799.5909	1.803081
799.1658	1.803582
798.7406	1.804084
798.3153	1.804586
797.8899	1.805090
797.4644	1.805594
797.0389	1.806099
796.6132	1.806604
796.1875	1.807111
795.7617	1.807618
795.3357	1.808126
794.9097	1.808635
794.4836	1.809145
794.0574	1.809655
793.6310	1.810167
793.2047	1.810679
792.7782	1.811192
792.3516	1.811705
791.9249	1.812220
791.4982	1.812735
791.0714	1.813252
790.6444	1.813769
790.2173	1.814287
789.7902	1.814805
789.3630	1.815325
788.9357	1.815845
788.5083	1.816366
788.0807	1.816888
787.6532	1.817411
787.2255	1.817934
786.7977	1.818459
786.3699	1.818984
785.9419	1.819510
785.5139	1.820037
785.0857	1.820565
784.6575	1.821094
784.2291	1.821623
783.8007	1.822154
783.3722	1.822685
782.9435	1.823217
782.5148	1.823750
782.0861	1.824284
781.6572	1.824818
781.2282	1.825354
780.7991	1.825890
780.3699	1.826428
779.9407	1.826966
779.5113	1.827505
779.0818	1.828044
778.6523	1.828585
778.2227	1.829127
777.7930	1.829669
777.3632	1.830212
776.9332	1.830757
776.5032	1.831302
776.0731	1.831847
775.6429	1.832394
775.2126	1.832942
774.7822	1.833491
774.3517	1.834040
773.9212	1.834590
773.4905	1.835142
773.0598	1.835694
772.6289	1.836247
772.1980	1.836801
771.7669	1.837356
771.3358	1.837911
770.9046	1.838468
770.4733	1.839025
770.0419	1.839584
769.6104	1.840143
769.1787	1.840704
768.7471	1.841265
768.3152	1.841827
767.8834	1.842390
767.4514	1.842954
767.0193	1.843519
766.5872	1.844084
766.1549	1.844651
765.7225	1.845219
765.2901	1.845787
764.8575	1.846357
764.4249	1.846927
763.9922	1.847498
763.5593	1.848071
763.1264	1.848644
762.6934	1.849218
762.2603	1.849793
761.8271	1.850369
761.3938	1.850946
760.9604	1.851524
760.5269	1.852103
760.0933	1.852683
759.6597	1.853263
759.2259	1.853845
758.7921	1.854428
758.3581	1.855011
757.9240	1.855596
757.4899	1.856181
757.0556	1.856768
756.6213	1.857355
756.1868	1.857944
755.7523	1.858533
755.3177	1.859124
754.8830	1.859715
754.4482	1.860307
754.0132	1.860901
753.5782	1.861495
753.1431	1.862090
752.7079	1.862687
752.2726	1.863284
