nm	mW/cm2/nm
280	4.7309E-24
280.5	1.2307E-22
281	5.6895E-22
281.5	1.5662E-20
282	1.1946E-19
282.5	4.5436E-19
283	1.8452E-18
283.5	3.536E-18
284	7.267E-17
284.5	2.4856E-16
285	8.0142E-16
285.5	4.2613E-15
286	1.3684E-14
286.5	8.3823E-14
287	2.7367E-13
287.5	1.0903E-12
288	6.2337E-12
288.5	1.7162E-11
289	5.6265E-11
289.5	2.0749E-10
290	6.0168E-10
290.5	1.3783E-9
291	3.5052E-9
291.5	1.0913E-8
292	2.683E-8
292.5	4.2685E-8
293	8.6466E-8
293.5	2.2707E-7
294	4.1744E-7
294.5	6.5911E-7
295	1.229E-6
295.5	2.7826E-6
296	4.7904E-6
296.5	7.1345E-6
297	9.68E-6
297.5	1.8608E-5
298	2.8988E-5
298.5	3.5789E-5
299	4.9211E-5
299.5	8.6068E-5
300	1.0205E-4
300.5	1.245E-4
301	1.93E-4
301.5	2.6914E-4
302	2.9209E-4
302.5	4.284E-4
303	7.0945E-4
303.5	8.9795E-4
304	9.4701E-4
304.5	0.0012
305	0.00165
305.5	0.00187
306	0.00186
306.5	0.00211
307	0.00278
307.5	0.00356
308	0.00378
308.5	0.00414
309	0.00405
309.5	0.00433
310	0.00509
310.5	0.00655
311	0.00829
311.5	0.00841
312	0.00934
312.5	0.0099
313	0.01073
313.5	0.01076
314	0.01197
314.5	0.01306
315	0.01363
315.5	0.01184
316	0.01235
316.5	0.01504
317	0.01716
317.5	0.01825
318	0.01759
318.5	0.01859
319	0.02047
319.5	0.01959
320	0.02053
320.5	0.02453
321	0.02502
321.5	0.02384
322	0.0222
322.5	0.02171
323	0.02123
323.5	0.02486
324	0.02754
324.5	0.02832
325	0.02789
325.5	0.03244
326	0.03812
326.5	0.04072
327	0.03981
327.5	0.03846
328	0.03512
328.5	0.03716
329	0.04223
329.5	0.04688
330	0.04714
330.5	0.0428
331	0.04026
331.5	0.04181
332	0.04362
332.5	0.04392
333	0.04294
333.5	0.04072
334	0.0415
334.5	0.04451
335	0.04639
335.5	0.04531
336	0.04152
336.5	0.03821
337	0.03738
337.5	0.04005
338	0.04341
338.5	0.04553
339	0.04636
339.5	0.04745
340	0.05018
340.5	0.05007
341	0.04714
341.5	0.04694
342	0.04893
342.5	0.05077
343	0.05149
343.5	0.04861
344	0.04184
344.5	0.04031
345	0.0459
345.5	0.04893
346	0.04778
346.5	0.04866
347	0.0494
347.5	0.04767
348	0.04751
348.5	0.04834
349	0.04656
349.5	0.04781
350	0.0528
350.5	0.05674
351	0.05517
351.5	0.05302
352	0.05179
352.5	0.04896
353	0.05204
353.5	0.05723
354	0.0605
354.5	0.06116
355	0.06114
355.5	0.05903
356	0.05539
356.5	0.05194
357	0.04567
357.5	0.04621
358	0.04301
358.5	0.03993
359	0.04695
359.5	0.05655
360	0.05982
360.5	0.05653
361	0.05202
361.5	0.05096
362	0.05342
362.5	0.05851
363	0.06019
363.5	0.05854
364	0.06063
364.5	0.06006
365	0.06236
365.5	0.06863
366	0.07353
366.5	0.07366
367	0.07229
367.5	0.07091
368	0.06676
368.5	0.06631
369	0.06932
369.5	0.07447
370	0.07551
370.5	0.06826
371	0.06934
371.5	0.07205
372	0.06744
372.5	0.06425
373	0.06189
373.5	0.05579
374	0.05564
374.5	0.05523
375	0.05893
375.5	0.06516
376	0.06748
376.5	0.06639
377	0.07123
377.5	0.07945
378	0.0856
378.5	0.08342
379	0.07439
379.5	0.06668
380	0.07008
380.5	0.07508
381	0.07638
381.5	0.06884
382	0.05868
382.5	0.05076
383	0.0455
383.5	0.04405
384	0.05097
384.5	0.06136
385	0.06735
385.5	0.06436
386	0.0621
386.5	0.06457
387	0.06515
387.5	0.0642
388	0.06358
388.5	0.06314
389	0.06854
389.5	0.07597
390	0.0797
390.5	0.08037
391	0.08514
391.5	0.08634
392	0.07949
392.5	0.06626
393	0.04798
393.5	0.03815
394	0.04957
394.5	0.06839
395	0.08077
395.5	0.08604
396	0.07565
396.5	0.05502
397	0.04262
397.5	0.06294
398	0.08525
398.5	0.10069
399	0.10693
399.5	0.11021
400	0.11141
401	0.11603
402	0.12061
403	0.11613
404	0.11801
405	0.11511
406	0.11227
407	0.11026
408	0.11514
409	0.12299
410	0.10485
411	0.11738
412	0.12478
413	0.11971
414	0.11842
415	0.12258
416	0.12624
417	0.12312
418	0.11777
419	0.12258
420	0.11232
421	0.12757
422	0.12583
423	0.12184
424	0.12117
425	0.12488
426	0.12135
427	0.11724
428	0.11839
429	0.10963
430	0.08746
431	0.07939
432	0.13207
433	0.12288
434	0.11352
435	0.12452
436	0.13659
437	0.13943
438	0.12238
439	0.11775
440	0.13499
441	0.13313
442	0.1425
443	0.14453
444	0.14084
445	0.14619
446	0.13108
447	0.14903
448	0.15081
449	0.15045
450	0.15595
451	0.16173
452	0.15482
453	0.14297
454	0.15335
455	0.15224
456	0.15724
457	0.15854
458	0.15514
459	0.15391
460	0.15291
461	0.15827
462	0.15975
463	0.16031
464	0.15544
465	0.1535
466	0.15673
467	0.14973
468	0.15619
469	0.15682
470	0.15077
471	0.15331
472	0.16126
473	0.15499
474	0.15671
475	0.16185
476	0.15631
477	0.15724
478	0.1623
479	0.15916
480	0.16181
481	0.16177
482	0.16236
483	0.16038
484	0.15734
485	0.15683
486	0.12716
487	0.14241
488	0.15413
489	0.14519
490	0.16224
491	0.15595
492	0.14869
493	0.15903
494	0.15525
495	0.16485
496	0.15676
497	0.15944
498	0.15509
499	0.15507
500	0.15451
501	0.14978
502	0.14966
503	0.15653
504	0.14587
505	0.15635
506	0.16264
507	0.1556
508	0.15165
509	0.15893
510	0.15481
511	0.15769
512	0.16186
513	0.15206
514	0.14885
515	0.15314
516	0.15455
517	0.12594
518	0.14403
519	0.13957
520	0.15236
521	0.15346
522	0.1569
523	0.14789
524	0.15905
525	0.15781
526	0.15341
527	0.13417
528	0.15357
529	0.16071
530	0.15446
531	0.16292
532	0.15998
533	0.14286
534	0.15302
535	0.15535
536	0.16199
537	0.14989
538	0.15738
539	0.15352
540	0.14825
541	0.14251
542	0.15511
543	0.15256
544	0.15792
545	0.15435
546	0.15291
547	0.1549
548	0.15049
549	0.1552
550	0.15399
551	0.15382
552	0.15697
553	0.1525
554	0.15549
555	0.15634
556	0.15366
557	0.14988
558	0.1531
559	0.14483
560	0.1474
561	0.15595
562	0.14847
563	0.15408
564	0.15106
565	0.15201
566	0.14374
567	0.1532
568	0.1518
569	0.14807
570	0.14816
571	0.14331
572	0.15134
573	0.15198
574	0.15119
575	0.14777
576	0.14654
577	0.15023
578	0.1456
579	0.1477
580	0.1502
581	0.15089
582	0.1532
583	0.15479
584	0.15448
585	0.15324
586	0.14953
587	0.15281
588	0.14934
589	0.12894
590	0.13709
591	0.14662
592	0.14354
593	0.14561
594	0.14491
595	0.14308
596	0.14745
597	0.14788
598	0.14607
599	0.14606
600	0.14753
601	0.14579
602	0.1436
603	0.14664
604	0.14921
605	0.14895
606	0.14822
607	0.14911
608	0.14862
609	0.14749
610	0.14686
611	0.14611
612	0.14831
613	0.14621
614	0.14176
615	0.14697
616	0.1431
617	0.14128
618	0.14664
619	0.14733
620	0.14739
621	0.14802
622	0.14269
623	0.14165
624	0.14118
625	0.14026
626	0.14012
627	0.14417
628	0.13631
629	0.14114
630	0.13924
631	0.14161
632	0.13638
633	0.14508
634	0.14284
635	0.14458
636	0.14128
637	0.1461
638	0.14707
639	0.14646
640	0.1434
641	0.14348
642	0.14376
643	0.14525
644	0.14462
645	0.14567
646	0.1415
647	0.14086
648	0.13952
649	0.13519
650	0.13594
651	0.14447
652	0.13871
653	0.14311
654	0.14153
655	0.13499
656	0.11851
657	0.12393
658	0.13855
659	0.13905
660	0.13992
661	0.13933
662	0.13819
663	0.13844
664	0.13967
665	0.14214
666	0.14203
667	0.14102
668	0.1415
669	0.14394
670	0.14196
671	0.14169
672	0.13972
673	0.14094
674	0.14074
675	0.13958
676	0.1412
677	0.13991
678	0.14066
679	0.13947
680	0.13969
681	0.13915
682	0.13981
683	0.1383
684	0.13739
685	0.13748
686	0.13438
687	0.09682
688	0.11206
689	0.11278
690	0.11821
691	0.12333
692	0.12689
693	0.12609
694	0.12464
695	0.12714
696	0.12684
697	0.13403
698	0.13192
699	0.12918
700	0.12823
701	0.12659
702	0.12674
703	0.12747
704	0.13078
705	0.13214
706	0.13144
707	0.1309
708	0.13048
709	0.13095
710	0.13175
711	0.13155
712	0.13071
713	0.12918
714	0.13029
715	0.12587
716	0.12716
717	0.11071
718	0.10296
719	0.09232
720	0.09855
721	0.10861
722	0.12407
723	0.11444
724	0.10555
725	0.1038
726	0.10813
727	0.1085
728	0.104
729	0.10466
730	0.11285
731	0.10703
732	0.11534
733	0.11962
734	0.12357
735	0.12178
736	0.12059
737	0.12039
738	0.12269
739	0.11905
740	0.12195
741	0.12148
742	0.12153
743	0.12405
744	0.12503
745	0.12497
746	0.1247
747	0.12477
748	0.12401
749	0.12357
750	0.12341
751	0.12286
752	0.1233
753	0.12266
754	0.1242
755	0.12383
756	0.12232
757	0.12221
758	0.12295
759	0.11945
760	0.0266
761	0.0154
762	0.06877
763	0.03795
764	0.05388
765	0.0686
766	0.08146
767	0.09742
768	0.11138
769	0.11278
770	0.11608
771	0.11686
772	0.11778
773	0.11771
774	0.11771
775	0.11771
776	0.11798
777	0.11727
778	0.11713
779	0.11765
780	0.11636
781	0.11607
782	0.11662
783	0.11614
784	0.11536
785	0.11586
786	0.11592
787	0.1145
788	0.11305
789	0.11257
